formula,P,Tc,AD
Li6H5,100,7,1
Li6H5,50,7,-1
Li5H7,150,7,-1
Li5H8,50,7,-1
Li5H9,150,7,-1
Li5H9,100,7,-1
Li5H9,50,7,-1
Li7H4,100,7,-1
Li7H5,50,7,-1
Li8H5,100,7,-1
Li7H10,50,7,-1
Li8H5,50,7,-1
Li8H3,150,7,-1
Li8H3,100,7,-1
Li8H3,50,7,-1
Li8H,150,7,-1
Li8H,100,7,-1
Li8H,50,7,-1
Li7H10,150,7,-1
Li7H10,100,7,-1
Li7H9,150,7,-1
Li7H5,100,7,-1
Li7H9,100,7,-1
Li7H9,50,7,-1
Li7H8,150,7,-1
Li7H8,100,7,-1
Li7H8,50,7,-1
Li7H6,150,7,-1
Li7H6,100,7,-1
Li7H6,50,7,-1
Li7H5,150,7,-1
Be2H,100,7,-1
Li4H7,100,7,-1
Be2H,200,7,-1
Be5H7,50,7,-1
Be2H3,150,7,-1
Be2H3,200,7,-1
Be5H6,100,7,-1
Be5H6,50,7,-1
Be4H7,50,7,-1
Be5H4,150,7,-1
Be3H,100,7,-1
Be3H,150,7,-1
Li5H8,150,7,-1
Li3H,150,7,-1
Li3H,100,7,-1
Li2H3,200,7,-1
Li2H3,150,7,-1
Li2H3,100,7,-1
Li2H3,50,7,-1
Li2H,300,7,-1
Be2H,250,7,-1
Li2H,50,7,-1
Li2H,100,7,-1
Li2H,150,7,-1
Li2H,200,7,-1
Li2H,250,7,-1
Be4H7,150,7,-1
Be5H6,150,7,-1
Be4H7,100,7,-1
Be5H7,100,7,-1
Be7H3,50,7,-1
Be6H5,100,7,1
Be6H7,50,7,-1
Be6H7,100,7,1
Be2H3,50,7,-1
Be2H3,100,7,-1
Be6H7,150,7,1
Be7H2,50,7,-1
Be7H2,100,7,-1
Be6H5,50,7,-1
Be7H2,150,7,-1
Be5H9,150,7,-1
Be5H9,100,7,-1
Be7H3,100,7,-1
Be7H3,150,7,-1
Be5H9,50,7,-1
Be7H4,50,7,-1
Be5H8,150,7,-1
Be2H,300,7,-1
Be5H8,100,7,-1
Be5H8,50,7,-1
Be5H7,150,7,-1
Be6H5,150,7,1
Be5H,50,2,-1
Be5H,350,2,-1
Be5H,100,2,-1
Be5H,150,2,-1
Be5H,300,2,-1
Be5H,400,2,-1
Be5H2,300,2,-1
Be5H2,350,2,-1
Be5H2,400,2,-1
Be5H3,300,2,-1
Be5H3,350,2,-1
Be5H3,400,2,-1
Be5H4,300,2,-1
Be5H4,400,2,-1
Be5H4,350,2,-1
Be4H,50,2,1
Be4H5,350,2,-1
Li5H,300,2,-1
Li5H4,350,2,-1
Li5H4,300,2,-1
Li5H3,400,2,-1
Li5H3,350,2,-1
Li5H3,300,2,-1
Li5H2,400,2,-1
Li5H2,350,2,-1
Li5H2,300,2,-1
Li5H,400,2,-1
Li5H,350,2,-1
Li5H,150,2,-1
Be4H5,300,2,-1
Li5H,100,2,-1
Li5H,50,2,-1
Li4H,100,2,1
Li4H,150,2,1
Li4H5,350,2,-1
Li4H5,300,2,-1
Li4H3,350,2,1
Li4H3,300,2,1
Li4H,350,2,1
Li4H,300,2,1
Li5H4,400,2,-1
Li4H,50,2,1
Li3H5,350,2,-1
Li3H5,300,2,-1
Be4H3,350,2,1
Be4H3,300,2,1
Be4H,350,2,1
Be4H,300,2,1
Be4H,150,2,1
Be4H,100,2,1
Li3H,50,2,-1
Li3H,300,2,-1
Li3H,350,2,-1
Be3H5,350,2,-1
Be3H5,300,2,-1
Be3H4,350,2,-1
Be3H4,300,2,-1
Be3H2,350,2,-1
Be3H,350,2,-1
Be3H,300,2,-1
Be3H,50,2,-1
Li3H2,300,2,-1
Li3H2,350,2,-1
Li3H4,300,2,-1
Li3H4,350,2,-1
Be3H2,300,2,-1
