formula,P,Tc,AD
BeH6,50,38,-1
Li4H9,300,38,-1
LiH7,150,38,1
BeH2,200,38,1
Be2H5,100,38,-1
LiH2,200,38,1
Be2H7,150,38,-1
Li3H7,150,38,-1
Be2H3,250,38,-1
Be3H7,150,38,-1
Li3H10,300,38,-1
LiH2,250,38,1
Be2H5,50,38,-1
Be2H5,150,38,-1
Li3H8,300,38,-1
Be3H10,300,38,-1
BeH2,250,38,1
Be3H8,300,38,-1
Li2H3,250,38,-1
LiH9,250,36,-1
Be2H9,250,36,-1
Be2H9,300,36,-1
Be2H9,350,36,-1
Be2H9,200,36,-1
LiH9,200,36,-1
LiH9,300,36,-1
LiH8,300,36,-1
LiH8,350,36,-1
Li2H9,350,36,-1
LiH9,350,36,-1
LiH8,200,36,1
BeH9,350,36,-1
BeH9,300,36,-1
BeH9,250,36,-1
BeH9,200,36,-1
Li2H9,300,36,-1
Li2H9,250,36,-1
Li2H9,200,36,-1
LiH8,250,36,1
BeH8,350,36,-1
BeH8,300,36,-1
BeH8,250,36,1
BeH8,200,36,1
LiH9,150,34,-1
LiH10,150,34,-1
BeH10,150,34,-1
LiH8,150,34,1
Be2H9,150,34,-1
Li2H9,150,34,-1
BeH8,150,34,1
BeH9,150,34,-1
BeH4,450,31,1
BeH3,450,31,-1
BeH4,400,31,1
Li2H5,450,31,-1
LiH3,450,31,-1
Li2H9,50,31,-1
BeH5,450,31,-1
LiH9,100,31,-1
Li3H7,100,31,-1
Li3H7,50,31,-1
LiH10,50,31,-1
Li2H7,100,31,-1
Li2H3,450,31,-1
LiH10,100,31,-1
Be2H5,450,31,-1
Be2H7,50,31,-1
Be2H7,100,31,-1
Be2H9,50,31,-1
Be2H9,100,31,-1
Be3H7,50,31,-1
Be3H7,100,31,-1
Be3H8,50,31,-1
Be3H8,100,31,-1
Li2H7,50,31,-1
LiH9,50,31,-1
Li3H8,50,31,-1
LiH7,50,31,-1
LiH4,400,31,1
LiH4,450,31,-1
BeH7,50,31,-1
BeH7,100,31,1
LiH5,450,31,-1
BeH8,50,31,-1
BeH8,100,31,1
BeH9,50,31,-1
Li3H8,100,31,-1
BeH9,100,31,-1
LiH7,100,31,1
BeH10,50,31,-1
BeH10,100,31,-1
LiH8,50,31,-1
LiH8,100,31,1
Be2H3,450,31,-1
Li2H9,100,31,-1
BeH2,50,30,1
LiH,100,30,1
BeH,100,30,1
BeH2,100,30,1
LiH,50,30,1
BeH,50,30,1
LiH2,50,30,1
LiH2,100,30,1
LiH4,50,29,1
BeH4,50,29,1
BeH4,150,29,1
BeH4,100,29,1
BeH4,300,29,1
LiH4,300,29,1
LiH4,150,29,1
LiH4,100,29,1
LiH4,200,27,1
BeH4,200,27,1
Be4H9,350,26,-1
Li4H9,500,26,-1
Li4H9,450,26,-1
Li4H9,400,26,-1
Li4H9,350,26,-1
Li3H10,500,26,-1
Be4H9,500,26,-1
Be4H9,400,26,-1
Be3H10,400,26,-1
Be4H9,450,26,-1
Li3H8,350,26,-1
Be3H10,350,26,-1
Be3H10,450,26,-1
Be3H10,500,26,-1
Be3H8,500,26,-1
Be3H8,450,26,-1
Be3H8,400,26,-1
Li3H8,400,26,-1
Li3H8,450,26,-1
Li3H8,500,26,-1
Be3H8,350,26,-1
Li3H10,350,26,-1
Li3H10,400,26,-1
Li3H10,450,26,-1
BeH3,500,21,-1
LiH4,500,21,-1
LiH5,500,21,-1
Li2H3,500,21,-1
LiH3,500,21,-1
BeH4,500,21,1
BeH5,500,21,-1
Be2H3,500,21,-1
Be2H5,500,21,-1
Li2H5,500,21,-1
BeH,150,18,1
LiH4,350,18,1
LiH,150,18,1
BeH4,350,18,1
BeH2,150,16,1
Li10H9,450,15,-1
Be9H4,500,15,-1
Li10H,450,15,-1
Li10H,500,15,-1
Li10H3,200,15,-1
Li10H3,250,15,-1
Li10H3,300,15,-1
Li10H3,350,15,-1
Li10H3,400,15,-1
Li10H3,450,15,-1
Li10H3,500,15,-1
Be9H4,450,15,-1
Li10H,350,15,-1
Be9H4,400,15,-1
Li10H7,200,15,-1
Be8H7,200,15,-1
Be8H7,250,15,-1
Be8H7,300,15,-1
Be8H7,350,15,-1
Be8H7,400,15,-1
Be8H7,450,15,-1
Li10H,400,15,-1
Be8H5,500,15,-1
Be8H9,200,15,-1
Be8H3,450,15,-1
Li9H10,450,15,-1
Li9H10,500,15,-1
Be9H5,300,15,-1
Be9H5,250,15,-1
Be9H5,200,15,-1
Be8H3,300,15,-1
Be8H3,350,15,-1
Be8H3,400,15,-1
Li10H,200,15,-1
Be8H5,450,15,-1
Be8H3,500,15,-1
Li10H,250,15,-1
Li10H,300,15,-1
Be8H5,200,15,-1
Be8H5,250,15,-1
Be8H5,300,15,-1
Be8H5,350,15,-1
Be8H5,400,15,-1
Be8H7,500,15,-1
Be8H9,250,15,-1
Li10H9,400,15,-1
Be9H2,250,15,-1
Li10H7,450,15,-1
Be8H3,250,15,-1
Li10H7,500,15,-1
Be9H4,350,15,-1
Be9H4,300,15,-1
Be9H4,250,15,-1
Li10H9,200,15,-1
Li10H9,250,15,-1
Be9H2,300,15,-1
Li10H7,400,15,-1
Be9H2,350,15,-1
Be9H2,400,15,-1
Li5H4,200,15,-1
Be9H2,450,15,-1
Be9H2,500,15,-1
Li10H9,300,15,-1
Li10H9,500,15,-1
Li10H9,350,15,-1
Be9H2,200,15,-1
Be9H,500,15,-1
Be8H9,300,15,-1
Li4H7,300,15,-1
Be9H4,200,15,-1
Be8H9,400,15,-1
Be8H9,450,15,-1
Be8H9,500,15,-1
Be9H,200,15,-1
Be9H,250,15,-1
Li4H7,200,15,-1
Li4H7,250,15,-1
Li4H7,350,15,-1
Be9H,450,15,-1
Li4H7,400,15,-1
Li5H6,200,15,-1
Li10H7,250,15,-1
Li10H7,300,15,-1
Li10H7,350,15,-1
Be9H,300,15,-1
Be9H,350,15,-1
Be7H4,300,15,-1
Be8H9,350,15,-1
Be10H9,500,15,-1
Be8H3,200,15,-1
Be6H7,300,15,-1
Be6H7,200,15,1
Be7H5,300,15,-1
Be7H5,350,15,-1
Be7H5,400,15,-1
Be6H5,500,15,-1
Be6H5,450,15,-1
Be6H5,400,15,-1
Be6H5,350,15,-1
Be6H5,300,15,-1
Be6H5,250,15,1
Be6H5,200,15,1
Be7H5,450,15,-1
Be7H5,500,15,-1
Be5H9,500,15,-1
Be5H9,450,15,-1
Be5H9,400,15,-1
Be5H9,350,15,-1
Be5H9,300,15,-1
Be5H9,250,15,-1
Be5H9,200,15,-1
Be7H6,200,15,-1
Be5H8,500,15,-1
Be5H8,450,15,-1
Be5H8,400,15,-1
Be5H8,350,15,-1
Be6H7,250,15,1
Be6H7,350,15,-1
Be8H,500,15,-1
Be6H7,400,15,-1
Be7H4,200,15,-1
Be7H4,350,15,-1
Be7H4,400,15,-1
Be7H4,450,15,-1
Be7H3,500,15,-1
Be7H3,450,15,-1
Be7H3,400,15,-1
Be7H3,350,15,-1
Be7H3,300,15,-1
Be7H3,250,15,-1
Be7H3,200,15,-1
Be7H4,500,15,-1
Be7H2,500,15,-1
Be7H2,450,15,-1
Be7H2,400,15,-1
Be7H2,350,15,-1
Be7H2,300,15,-1
Be7H2,250,15,-1
Be7H2,200,15,-1
Be7H5,200,15,-1
Be7H5,250,15,-1
Be7H,500,15,-1
Be7H,450,15,-1
Be6H7,500,15,-1
Be6H7,450,15,-1
Be5H8,300,15,-1
Be5H8,250,15,-1
Be5H8,200,15,-1
Be7H6,250,15,-1
Be7H9,250,15,-1
Be7H9,300,15,-1
Be7H9,350,15,-1
Be7H9,400,15,-1
Be7H9,450,15,-1
Be7H9,500,15,-1
Be7H10,200,15,-1
Be4H7,400,15,-1
Be4H7,350,15,-1
Be4H7,300,15,-1
Be4H7,250,15,-1
Be4H7,200,15,-1
Be7H10,250,15,-1
Be7H10,300,15,-1
Be7H10,350,15,-1
Be7H10,400,15,-1
Be7H10,450,15,-1
Be7H10,500,15,-1
Be8H,200,15,-1
Be8H,250,15,-1
Be8H,300,15,-1
Li9H10,350,15,-1
Be8H,350,15,-1
Be8H,400,15,-1
Be8H,450,15,-1
Be7H9,200,15,-1
Be7H8,500,15,-1
Be7H8,450,15,-1
Be7H6,500,15,-1
Be7H6,300,15,-1
Be7H6,350,15,-1
Be5H7,500,15,-1
Be5H7,450,15,-1
Be5H7,400,15,-1
Be5H7,350,15,-1
Be5H7,300,15,-1
Be5H7,250,15,-1
Be5H7,200,15,-1
Be7H6,400,15,-1
Be7H6,450,15,-1
Be5H6,500,15,-1
Be7H8,400,15,-1
Be5H6,450,15,-1
Be5H6,400,15,-1
Be5H6,350,15,-1
Be5H6,300,15,-1
Be5H6,250,15,-1
Be5H6,200,15,-1
Be7H8,200,15,-1
Be7H8,250,15,-1
Be7H8,300,15,-1
Be5H4,200,15,-1
Be7H8,350,15,-1
Li9H10,400,15,-1
Be9H,400,15,-1
Li9H10,300,15,-1
Li7H8,350,15,-1
Li7H6,450,15,-1
Li7H6,500,15,-1
Be10H,500,15,-1
Be10H,450,15,-1
Li7H8,200,15,-1
Li7H8,250,15,-1
Li7H8,300,15,-1
Li7H8,400,15,-1
Li7H9,350,15,-1
Li7H8,450,15,-1
Li7H8,500,15,-1
Be10H,400,15,-1
Be10H,350,15,-1
Be10H,300,15,-1
Li7H9,200,15,-1
Li7H9,250,15,-1
Li7H6,400,15,-1
Li7H6,350,15,-1
Li7H6,300,15,-1
Li7H6,250,15,-1
Li7H4,400,15,-1
Li7H4,450,15,-1
Li7H4,500,15,-1
Be10H3,350,15,-1
Be10H3,300,15,-1
Be10H3,250,15,-1
Li7H5,200,15,-1
Li7H5,250,15,-1
Li7H5,300,15,-1
Li7H5,350,15,-1
Li7H5,400,15,-1
Li7H5,450,15,-1
Li7H5,500,15,-1
Be10H3,200,15,-1
Li7H6,200,15,-1
Li7H9,300,15,-1
Li7H9,400,15,-1
Li8H5,450,15,-1
Li8H3,450,15,-1
Be9H10,400,15,-1
Be9H10,350,15,-1
Li8H3,200,15,-1
Li8H3,250,15,-1
Li8H3,300,15,-1
Li8H3,350,15,-1
Li8H3,400,15,-1
Li8H3,500,15,-1
Li7H9,450,15,-1
Be9H10,300,15,-1
Be9H10,250,15,-1
Be9H10,200,15,-1
Li8H5,200,15,-1
Li8H5,250,15,-1
Li8H5,300,15,-1
Li8H5,350,15,-1
Be9H10,450,15,-1
Li8H,500,15,-1
Li8H,450,15,-1
Li8H,400,15,-1
Li7H9,500,15,-1
Be10H,250,15,-1
Be10H,200,15,-1
Li7H10,200,15,-1
Li7H10,250,15,-1
Li7H10,300,15,-1
Li7H10,350,15,-1
Li7H10,400,15,-1
Li7H10,450,15,-1
Li7H10,500,15,-1
Be9H10,500,15,-1
Li8H,200,15,-1
Li9H10,250,15,-1
Li8H,300,15,-1
Li8H,350,15,-1
Li7H4,350,15,-1
Li7H4,300,15,-1
Li7H4,250,15,-1
Be10H9,200,15,-1
Li5H7,450,15,-1
Li5H7,400,15,-1
Li5H7,350,15,-1
Li5H7,300,15,-1
Li5H7,250,15,-1
Li5H7,200,15,-1
Be10H9,250,15,-1
Li6H5,200,15,1
Li7H4,200,15,-1
Li6H5,250,15,1
Li6H5,300,15,-1
Li6H5,350,15,-1
Li6H5,400,15,-1
Li6H5,450,15,-1
Li6H5,500,15,-1
Be10H7,500,15,-1
Li5H7,500,15,-1
Be10H9,300,15,-1
Li5H9,500,15,-1
Li5H9,450,15,-1
Li5H8,200,15,-1
Li5H8,250,15,-1
Li5H8,300,15,-1
Li5H8,350,15,-1
Li5H8,400,15,-1
Li5H8,450,15,-1
Li5H8,500,15,-1
Be10H9,450,15,-1
Be10H9,400,15,-1
Be10H9,350,15,-1
Li5H9,200,15,-1
Li5H9,250,15,-1
Li5H9,300,15,-1
Li5H9,350,15,-1
Li5H9,400,15,-1
Be10H7,450,15,-1
Li6H7,200,15,1
Li6H7,250,15,1
Li7H2,200,15,-1
Li7H2,300,15,-1
Li7H2,350,15,-1
Li7H2,400,15,-1
Li7H2,450,15,-1
Li7H2,500,15,-1
Li7H3,200,15,-1
Li7H3,250,15,-1
Li7H3,300,15,-1
Li7H3,350,15,-1
Li7H3,400,15,-1
Li7H3,450,15,-1
Li7H3,500,15,-1
Be10H3,500,15,-1
Be10H3,450,15,-1
Be10H3,400,15,-1
Li7H2,250,15,-1
Be10H7,200,15,-1
Li6H7,300,15,-1
Be10H7,250,15,-1
Li6H7,350,15,-1
Li6H7,400,15,-1
Li6H7,450,15,-1
Li6H7,500,15,-1
Be10H7,400,15,-1
Be10H7,350,15,-1
Li5H6,500,15,-1
Li5H6,450,15,-1
Li5H6,400,15,-1
Li5H6,350,15,-1
Li5H6,300,15,-1
Li5H6,250,15,-1
Li7H,450,15,-1
Li7H,500,15,-1
Be10H7,300,15,-1
Li8H5,400,15,-1
Li8H,250,15,-1
Li8H5,500,15,-1
Li9H2,350,15,-1
Li9H,450,15,-1
Li9H,500,15,-1
Be9H8,200,15,-1
Li9H2,200,15,-1
Li9H2,250,15,-1
Li9H2,300,15,-1
Li9H2,400,15,-1
Li9H,350,15,-1
Li9H2,450,15,-1
Li9H2,500,15,-1
Be9H7,500,15,-1
Be9H7,450,15,-1
Li9H4,200,15,-1
Li9H4,250,15,-1
Li9H,400,15,-1
Li9H,300,15,-1
Li9H4,350,15,-1
Li8H9,350,15,-1
Be9H8,500,15,-1
Be9H8,450,15,-1
Be9H8,400,15,-1
Li8H9,200,15,-1
Li8H9,250,15,-1
Li8H9,300,15,-1
Li8H9,400,15,-1
Li9H,250,15,-1
Li8H9,450,15,-1
Li8H9,500,15,-1
Be9H8,350,15,-1
Be9H8,300,15,-1
Be9H8,250,15,-1
Li9H,200,15,-1
Li9H4,300,15,-1
Li9H4,400,15,-1
Li8H7,450,15,-1
Li9H8,350,15,-1
Li9H7,450,15,-1
Li9H7,500,15,-1
Be9H5,500,15,-1
Li9H8,200,15,-1
Li9H8,250,15,-1
Li9H8,300,15,-1
Li9H8,400,15,-1
Li9H7,350,15,-1
Li9H8,450,15,-1
Li9H8,500,15,-1
Be9H5,450,15,-1
Be9H5,400,15,-1
Be9H5,350,15,-1
Li9H10,200,15,-1
Li9H7,400,15,-1
Li9H7,300,15,-1
Li9H4,450,15,-1
Li9H5,300,15,-1
Li9H4,500,15,-1
Be9H7,400,15,-1
Be9H7,350,15,-1
Be9H7,300,15,-1
Li9H5,200,15,-1
Li9H5,250,15,-1
Li9H5,350,15,-1
Li9H7,250,15,-1
Li9H5,400,15,-1
Li9H5,450,15,-1
Li9H5,500,15,-1
Be9H7,250,15,-1
Be9H7,200,15,-1
Li9H7,200,15,-1
Li8H7,500,15,-1
Be7H4,250,15,-1
Li8H7,350,15,-1
Li8H7,400,15,-1
Li8H7,200,15,-1
Li8H7,250,15,-1
Li8H7,300,15,-1
BeH,300,11,1
Li5H4,450,11,-1
Li5H4,500,11,-1
Be4H5,500,11,-1
Be4H5,450,11,-1
Be4H5,400,11,-1
